Recipe_ID,Recipe_Name,Meal_Type,Cuisine,Diet,Ingredients,Preparation,Prep_Time_Min
R00022,Aloo Paratha,Breakfast,North Indian,Vegetarian,Whole Wheat Flour | Potato/Aloo | Onion/Pyaz | Curd/Dahi,Prepare the ingredients and serve as breakfast.,25
R00023,Paneer Paratha,Breakfast,North Indian,Vegetarian,Whole Wheat Flour | Paneer | Onion/Pyaz | Curd/Dahi,Prepare the ingredients and serve as breakfast.,25
R00024,Gobi Paratha,Breakfast,North Indian,Vegetarian,Whole Wheat Flour | Cauliflower/Gobhi | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00025,Methi Paratha,Breakfast,North Indian,Vegetarian,Whole Wheat Flour | Methi Leaves | Curd/Dahi,Prepare the ingredients and serve as breakfast.,25
R00026,Mooli Paratha,Breakfast,North Indian,Vegetarian,Whole Wheat Flour | Radish/Mooli | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00027,Thepla,Breakfast,Gujarati,Vegetarian,Whole Wheat Flour | Methi Leaves | Curd/Dahi,Prepare the ingredients and serve as breakfast.,25
R00028,Methi Thepla,Breakfast,Gujarati,Vegetarian,Whole Wheat Flour | Methi Leaves | Curd/Dahi,Prepare the ingredients and serve as breakfast.,25
R00029,Bajra Roti Breakfast,Breakfast,Rajasthani,Vegan,Bajra Flour | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00030,Jowar Bhakri,Breakfast,Maharashtrian,Vegan,Jowar Flour | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00031,Thalipeeth,Breakfast,Maharashtrian,Vegan,Thalipeeth Flour | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00032,Dhokla,Breakfast,Gujarati,Vegetarian,Besan | Idli Batter,Prepare the ingredients and serve as breakfast.,25
R00033,Handvo,Breakfast,Gujarati,Vegetarian,Green Peas Fresh | Carrot/Gajar,Prepare the ingredients and serve as breakfast.,25
R00034,Khandvi,Breakfast,Gujarati,Vegetarian,Besan | Toned Milk,Prepare the ingredients and serve as breakfast.,25
R00035,Misal Pav,Breakfast,Maharashtrian,Vegan,Matki | Onion/Pyaz | Tomato/Tamatar,Prepare the ingredients and serve as breakfast.,25
R00036,Usal Pav,Breakfast,Maharashtrian,Vegan,Matki | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00037,Vegetable Sandwich,Breakfast,Indian,Vegetarian,Cucumber/Kheera | Tomato/Tamatar | Carrot/Gajar,Prepare the ingredients and serve as breakfast.,25
R00038,Paneer Sandwich,Breakfast,Indian,Vegetarian,Paneer | Tomato/Tamatar | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00039,Egg Sandwich,Breakfast,Indian,Non-Vegetarian,Eggs | Tomato/Tamatar | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00040,Masala Omelette,Breakfast,Indian,Non-Vegetarian,Eggs | Onion/Pyaz | Tomato/Tamatar | Capsicum/Bell Pepper,Prepare the ingredients and serve as breakfast.,25
R00041,Egg Bhurji Toast,Breakfast,Indian,Non-Vegetarian,Eggs | Onion/Pyaz | Tomato/Tamatar,Prepare the ingredients and serve as breakfast.,25
R00042,Paneer Bhurji Toast,Breakfast,Indian,Vegetarian,Paneer | Onion/Pyaz | Tomato/Tamatar,Prepare the ingredients and serve as breakfast.,25
R00043,Sprout Breakfast Bowl,Breakfast,Indian,Vegan,Sprouted Moong | Tomato/Tamatar | Cucumber/Kheera | Peanuts,Prepare the ingredients and serve as breakfast.,10
R00044,Curd Fruit Bowl,Breakfast,Indian,Vegetarian,Curd/Dahi | Banana/Kela | Apple/Seb | Chia Seeds,Prepare the ingredients and serve as breakfast.,10
R00045,Oats Banana Bowl,Breakfast,Indian,Vegetarian,Rolled Oats | Banana/Kela | Toned Milk | Chia Seeds,Prepare the ingredients and serve as breakfast.,10
R00046,Rajma Chawal,Lunch,North Indian,Vegetarian,Rajma | Rice | Tomato/Tamatar | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00047,Chole Chawal,Lunch,North Indian,Vegan,Chickpeas/Kabuli Chana | Rice | Tomato/Tamatar | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00048,Dal Tadka Rice,Lunch,North Indian,Vegetarian,Toor Dal | Rice | Tomato/Tamatar | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00049,Dal Makhani Rice,Lunch,Punjabi,Vegetarian,Rice | Tomato/Tamatar | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00050,Kadhi Chawal,Lunch,North Indian,Vegetarian,Besan | Curd/Dahi | Rice,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00051,Palak Paneer Rice,Lunch,North Indian,Vegetarian,Spinach/Palak | Paneer | Rice,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00052,Matar Paneer Rice,Lunch,North Indian,Vegetarian,Paneer | Green Peas Fresh | Rice,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00053,Aloo Gobi Roti,Lunch,North Indian,Vegan,Potato/Aloo | Cauliflower/Gobhi | Whole Wheat Flour,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00054,Bhindi Roti,Lunch,North Indian,Vegan,Okra/Bhindi | Whole Wheat Flour | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00055,Baingan Bharta Roti,Lunch,North Indian,Vegan,Brinjal/Baingan | Whole Wheat Flour | Tomato/Tamatar,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00056,Dal Paratha Meal,Lunch,North Indian,Vegetarian,Toor Dal | Whole Wheat Flour | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00057,Sambar Rice,Lunch,South Indian,Vegan,Toor Dal | Rice | Carrot/Gajar | Green Beans,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00058,Rasam Rice,Lunch,South Indian,Vegan,Toor Dal | Rice | Tomato/Tamatar,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00059,Curd Rice,Lunch,South Indian,Vegetarian,Rice | Curd/Dahi | Cucumber/Kheera,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00060,Lemon Rice,Lunch,South Indian,Vegan,Rice | Peanuts,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00061,Coconut Rice,Lunch,South Indian,Vegan,Rice | Coconut | Peanuts,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00062,Vegetable Pulao,Lunch,Indian,Vegan,Basmati Rice | Carrot/Gajar | Green Peas Fresh,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00063,Veg Biryani,Lunch,Indian,Vegetarian,Basmati Rice | Carrot/Gajar | Green Peas Fresh | Cauliflower/Gobhi,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00064,Chicken Biryani,Lunch,Indian,Non-Vegetarian,Basmati Rice | Chicken Curry Cut | Onion/Pyaz | Tomato/Tamatar,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00065,Egg Biryani,Lunch,Indian,Non-Vegetarian,Basmati Rice | Eggs | Onion/Pyaz | Tomato/Tamatar,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00066,Chicken Curry Rice,Lunch,Indian,Non-Vegetarian,Chicken Curry Cut | Rice | Tomato/Tamatar | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00067,Fish Curry Rice,Lunch,Indian,Non-Vegetarian,Rohu Fish | Rice | Tomato/Tamatar | Coconut Milk,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00068,Prawn Rice,Lunch,Indian,Non-Vegetarian,Prawns | Rice | Capsicum/Bell Pepper | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00069,Pithla Bhakri,Lunch,Maharashtrian,Vegan,Besan | Bajra Flour | Onion/Pyaz,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00070,Varan Bhaat,Lunch,Maharashtrian,Vegetarian,Toor Dal | Rice | Ghee,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00071,Dal Baati,Lunch,Rajasthani,Vegetarian,Panchmel Dal | Whole Wheat Flour | Ghee,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00072,Gatte Rice,Lunch,Rajasthani,Vegetarian,Besan | Rice | Curd/Dahi,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00073,Gujarati Dal Rice,Lunch,Gujarati,Vegetarian,Toor Dal | Rice,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00074,Khichdi Kadhi,Lunch,Gujarati,Vegetarian,Rice | Moong Dal | Curd/Dahi | Besan,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00075,Sarson Saag Makki Roti,Lunch,Punjabi,Vegetarian,Makki Atta | Ghee,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00076,Khichuri,Lunch,Bengali,Vegetarian,Rice | Moong Dal | Potato/Aloo | Green Peas Fresh,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00077,Cholar Dal Rice,Lunch,Bengali,Vegetarian,Chana Dal | Rice | Coconut,Cook the main dish and serve with the accompanying rice or flatbread.,35
R00078,Palak Paneer Roti,Dinner,North Indian,Vegetarian,Spinach/Palak | Paneer | Whole Wheat Flour | Tomato/Tamatar,Cook the protein and vegetables and serve as a complete dinner.,30
R00079,Matar Paneer Roti,Dinner,North Indian,Vegetarian,Paneer | Green Peas Fresh | Whole Wheat Flour | Tomato/Tamatar,Cook the protein and vegetables and serve as a complete dinner.,30
R00080,Shahi Paneer Roti,Dinner,North Indian,Vegetarian,Paneer | Toned Milk | Whole Wheat Flour | Tomato/Tamatar,Cook the protein and vegetables and serve as a complete dinner.,30
R00081,Paneer Tikka,Dinner,North Indian,Vegetarian,Paneer | Curd/Dahi | Capsicum/Bell Pepper | Onion/Pyaz,Cook the protein and vegetables and serve as a complete dinner.,30
R00082,Tofu Tikka,Dinner,Indian,Vegan,Tofu | Capsicum/Bell Pepper | Onion/Pyaz | Tomato/Tamatar,Cook the protein and vegetables and serve as a complete dinner.,30
R00083,Soya Chunk Curry Roti,Dinner,Indian,Vegan,Soya Chunks | Tomato/Tamatar | Onion/Pyaz | Whole Wheat Flour,Cook the protein and vegetables and serve as a complete dinner.,30
R00084,Mixed Veg Roti,Dinner,Indian,Vegan,Carrot/Gajar | Green Peas Fresh | Cauliflower/Gobhi | Whole Wheat Flour,Cook the protein and vegetables and serve as a complete dinner.,30
R00085,Bhindi Masala Roti,Dinner,North Indian,Vegan,Okra/Bhindi | Whole Wheat Flour | Tomato/Tamatar,Cook the protein and vegetables and serve as a complete dinner.,30
R00086,Dal Roti,Dinner,Indian,Vegetarian,Toor Dal | Whole Wheat Flour | Onion/Pyaz,Cook the protein and vegetables and serve as a complete dinner.,30
R00087,Moong Dal Khichdi,Dinner,Indian,Vegetarian,Rice | Moong Dal | Carrot/Gajar | Green Peas Fresh,Cook the protein and vegetables and serve as a complete dinner.,30
R00088,Vegetable Khichdi,Dinner,Indian,Vegan,Rice | Moong Dal | Carrot/Gajar | Green Beans,Cook the protein and vegetables and serve as a complete dinner.,30
R00089,Chicken Roti Roll,Dinner,Indian,Non-Vegetarian,Chicken Breast | Whole Wheat Flour | Onion/Pyaz | Cucumber/Kheera,Cook the protein and vegetables and serve as a complete dinner.,30
R00090,Chicken Tikka,Dinner,North Indian,Non-Vegetarian,Chicken Breast | Curd/Dahi | Capsicum/Bell Pepper | Onion/Pyaz,Cook the protein and vegetables and serve as a complete dinner.,30
R00091,Chicken Curry Roti,Dinner,North Indian,Non-Vegetarian,Chicken Curry Cut | Whole Wheat Flour | Tomato/Tamatar | Onion/Pyaz,Cook the protein and vegetables and serve as a complete dinner.,30
R00092,Fish Tikka,Dinner,Indian,Non-Vegetarian,Rohu Fish | Curd/Dahi | Onion/Pyaz,Cook the protein and vegetables and serve as a complete dinner.,30
R00093,Egg Curry Roti,Dinner,Indian,Non-Vegetarian,Eggs | Whole Wheat Flour | Tomato/Tamatar | Onion/Pyaz,Cook the protein and vegetables and serve as a complete dinner.,30
R00094,Egg Bhurji Roti,Dinner,Indian,Non-Vegetarian,Eggs | Whole Wheat Flour | Tomato/Tamatar | Onion/Pyaz,Cook the protein and vegetables and serve as a complete dinner.,30
R00095,Prawn Stir Fry Rice,Dinner,Indian,Non-Vegetarian,Prawns | Rice | Capsicum/Bell Pepper | Green Peas Fresh,Cook the protein and vegetables and serve as a complete dinner.,30
R00096,Vegetable Pasta,Dinner,Italian,Vegetarian,Whole Wheat Pasta | Tomato/Tamatar | Broccoli | Mushroom,Cook the protein and vegetables and serve as a complete dinner.,30
R00097,Chicken Pasta,Dinner,Italian,Non-Vegetarian,Whole Wheat Pasta | Chicken Breast | Tomato/Tamatar | Spinach/Palak,Cook the protein and vegetables and serve as a complete dinner.,30
R00098,Tofu Noodle Bowl,Dinner,Asian,Vegan,Rice Noodles | Tofu | Carrot/Gajar | Bean Sprouts,Cook the protein and vegetables and serve as a complete dinner.,30
R00099,Chicken Noodle Bowl,Dinner,Asian,Non-Vegetarian,Rice Noodles | Chicken Breast | Carrot/Gajar | Bean Sprouts,Cook the protein and vegetables and serve as a complete dinner.,30
R00100,Chickpea Quinoa Bowl,Dinner,Mediterranean,Vegan,Quinoa | Chickpeas/Kabuli Chana | Cucumber/Kheera | Tomato/Tamatar,Cook the protein and vegetables and serve as a complete dinner.,30
R00101,Tofu Quinoa Bowl,Dinner,International,Vegan,Quinoa | Tofu | Broccoli | Carrot/Gajar,Cook the protein and vegetables and serve as a complete dinner.,30
R00102,Sprout Chaat,Snack,Indian,Vegan,Sprouted Moong | Tomato/Tamatar | Onion/Pyaz | Cucumber/Kheera,Prepare or combine the ingredients and portion as a snack.,10
R00103,Chana Chaat,Snack,Indian,Vegan,Chickpeas/Kabuli Chana | Tomato/Tamatar | Onion/Pyaz | Cucumber/Kheera,Prepare or combine the ingredients and portion as a snack.,10
R00104,Corn Chaat,Snack,Indian,Vegan,Corn | Tomato/Tamatar | Onion/Pyaz,Prepare or combine the ingredients and portion as a snack.,10
R00105,Fruit Chaat,Snack,Indian,Vegan,Apple/Seb | Banana/Kela | Pomegranate/Anar | Papaya/Papita,Prepare or combine the ingredients and portion as a snack.,10
R00106,Makhana Roasted,Snack,Indian,Vegetarian,Makhana | Pumpkin Seeds,Prepare or combine the ingredients and portion as a snack.,10
R00107,Roasted Chana Mix,Snack,Indian,Vegan,Roasted Chana | Peanuts | Raisins,Prepare or combine the ingredients and portion as a snack.,10
R00108,Dahi Fruit Bowl,Snack,Indian,Vegetarian,Curd/Dahi | Banana/Kela | Apple/Seb | Chia Seeds,Prepare or combine the ingredients and portion as a snack.,10
R00109,Hummus Veggie Plate,Snack,Middle Eastern,Vegan,Hummus | Cucumber/Kheera | Carrot/Gajar | Whole Grain Crackers,Prepare or combine the ingredients and portion as a snack.,10
R00110,Greek Yogurt Berries,Snack,Mediterranean,Vegetarian,Greek Yogurt | Strawberries | Blueberries | Chia Seeds,Prepare or combine the ingredients and portion as a snack.,10
R00111,Peanut Butter Banana Toast,Snack,International,Vegetarian,Peanut Butter | Banana/Kela,Prepare or combine the ingredients and portion as a snack.,10
R00112,Edamame Snack,Snack,Japanese,Vegan,Edamame | Sesame Seeds | Soy Sauce,Prepare or combine the ingredients and portion as a snack.,10
R00113,Indian Toor Dal Potato/Aloo Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Potato/Aloo,Prepare the matched ingredients together and serve as a balanced meal.,30
R00114,Indian Toor Dal Carrot/Gajar Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Carrot/Gajar,Prepare the matched ingredients together and serve as a balanced meal.,30
R00115,Indian Toor Dal Green Peas Fresh Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Green Peas Fresh,Prepare the matched ingredients together and serve as a balanced meal.,30
R00116,Indian Toor Dal Spinach/Palak Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Spinach/Palak,Prepare the matched ingredients together and serve as a balanced meal.,30
R00117,Indian Toor Dal Cauliflower/Gobhi Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Cauliflower/Gobhi,Prepare the matched ingredients together and serve as a balanced meal.,30
R00118,Indian Toor Dal Okra/Bhindi Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Okra/Bhindi,Prepare the matched ingredients together and serve as a balanced meal.,30
R00119,Indian Toor Dal Brinjal/Baingan Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Brinjal/Baingan,Prepare the matched ingredients together and serve as a balanced meal.,30
R00120,Indian Toor Dal Capsicum/Bell Pepper Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Capsicum/Bell Pepper,Prepare the matched ingredients together and serve as a balanced meal.,30
R00121,Indian Toor Dal Tomato/Tamatar Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Tomato/Tamatar,Prepare the matched ingredients together and serve as a balanced meal.,30
R00122,Indian Toor Dal Onion/Pyaz Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Onion/Pyaz,Prepare the matched ingredients together and serve as a balanced meal.,30
R00123,Indian Toor Dal Cucumber/Kheera Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Cucumber/Kheera,Prepare the matched ingredients together and serve as a balanced meal.,30
R00124,Indian Toor Dal Broccoli Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Broccoli,Prepare the matched ingredients together and serve as a balanced meal.,30
R00125,Indian Toor Dal Mushroom Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Mushroom,Prepare the matched ingredients together and serve as a balanced meal.,30
R00126,Indian Toor Dal Corn Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Corn,Prepare the matched ingredients together and serve as a balanced meal.,30
R00127,Indian Toor Dal Methi Leaves Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Toor Dal | Methi Leaves,Prepare the matched ingredients together and serve as a balanced meal.,30
R00128,Indian Moong Dal Potato/Aloo Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Potato/Aloo,Prepare the matched ingredients together and serve as a balanced meal.,30
R00129,Indian Moong Dal Carrot/Gajar Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Carrot/Gajar,Prepare the matched ingredients together and serve as a balanced meal.,30
R00130,Indian Moong Dal Green Peas Fresh Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Green Peas Fresh,Prepare the matched ingredients together and serve as a balanced meal.,30
R00131,Indian Moong Dal Spinach/Palak Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Spinach/Palak,Prepare the matched ingredients together and serve as a balanced meal.,30
R00132,Indian Moong Dal Cauliflower/Gobhi Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Cauliflower/Gobhi,Prepare the matched ingredients together and serve as a balanced meal.,30
R00133,Indian Moong Dal Okra/Bhindi Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Okra/Bhindi,Prepare the matched ingredients together and serve as a balanced meal.,30
R00134,Indian Moong Dal Brinjal/Baingan Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Brinjal/Baingan,Prepare the matched ingredients together and serve as a balanced meal.,30
R00135,Indian Moong Dal Capsicum/Bell Pepper Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Capsicum/Bell Pepper,Prepare the matched ingredients together and serve as a balanced meal.,30
R00136,Indian Moong Dal Tomato/Tamatar Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Tomato/Tamatar,Prepare the matched ingredients together and serve as a balanced meal.,30
R00137,Indian Moong Dal Onion/Pyaz Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Onion/Pyaz,Prepare the matched ingredients together and serve as a balanced meal.,30
R00138,Indian Moong Dal Cucumber/Kheera Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Cucumber/Kheera,Prepare the matched ingredients together and serve as a balanced meal.,30
R00139,Indian Moong Dal Broccoli Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Broccoli,Prepare the matched ingredients together and serve as a balanced meal.,30
R00140,Indian Moong Dal Mushroom Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Mushroom,Prepare the matched ingredients together and serve as a balanced meal.,30
R00141,Indian Moong Dal Corn Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Corn,Prepare the matched ingredients together and serve as a balanced meal.,30
R00142,Indian Moong Dal Methi Leaves Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Moong Dal | Methi Leaves,Prepare the matched ingredients together and serve as a balanced meal.,30
R00143,Indian Masoor Dal Potato/Aloo Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Potato/Aloo,Prepare the matched ingredients together and serve as a balanced meal.,30
R00144,Indian Masoor Dal Carrot/Gajar Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Carrot/Gajar,Prepare the matched ingredients together and serve as a balanced meal.,30
R00145,Indian Masoor Dal Green Peas Fresh Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Green Peas Fresh,Prepare the matched ingredients together and serve as a balanced meal.,30
R00146,Indian Masoor Dal Spinach/Palak Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Spinach/Palak,Prepare the matched ingredients together and serve as a balanced meal.,30
R00147,Indian Masoor Dal Cauliflower/Gobhi Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Cauliflower/Gobhi,Prepare the matched ingredients together and serve as a balanced meal.,30
R00148,Indian Masoor Dal Okra/Bhindi Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Okra/Bhindi,Prepare the matched ingredients together and serve as a balanced meal.,30
R00149,Indian Masoor Dal Brinjal/Baingan Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Brinjal/Baingan,Prepare the matched ingredients together and serve as a balanced meal.,30
R00150,Indian Masoor Dal Capsicum/Bell Pepper Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Capsicum/Bell Pepper,Prepare the matched ingredients together and serve as a balanced meal.,30
R00151,Indian Masoor Dal Tomato/Tamatar Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Tomato/Tamatar,Prepare the matched ingredients together and serve as a balanced meal.,30
R00152,Indian Masoor Dal Onion/Pyaz Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Onion/Pyaz,Prepare the matched ingredients together and serve as a balanced meal.,30
R00153,Indian Masoor Dal Cucumber/Kheera Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Cucumber/Kheera,Prepare the matched ingredients together and serve as a balanced meal.,30
R00154,Indian Masoor Dal Broccoli Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Broccoli,Prepare the matched ingredients together and serve as a balanced meal.,30
R00155,Indian Masoor Dal Mushroom Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Mushroom,Prepare the matched ingredients together and serve as a balanced meal.,30
R00156,Indian Masoor Dal Corn Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Corn,Prepare the matched ingredients together and serve as a balanced meal.,30
R00157,Indian Masoor Dal Methi Leaves Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Masoor Dal | Methi Leaves,Prepare the matched ingredients together and serve as a balanced meal.,30
R00158,Indian Chana Dal Potato/Aloo Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Chana Dal | Potato/Aloo,Prepare the matched ingredients together and serve as a balanced meal.,30
R00159,Indian Chana Dal Carrot/Gajar Paratha,Breakfast,North Indian,Vegan,Whole Wheat Flour | Chana Dal | Carrot/Gajar,Prepare the matched ingredients together and serve as a balanced meal.,30
