Food,Category,Diet,Meal_Type,Cuisine,Unit,Price,Calories,Protein,Carbs,Fat,Max_Quantity
Prawns,Protein,Non-Vegetarian,"Lunch,Dinner","Indian,Asian",kg,400,990,240,20,20,1.5
Potato/Aloo,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,40,770,20,170,0,3.0
Sweet Potato/Shakarkand,Vegetable,"Vegetarian,Vegan","Breakfast,Lunch",Indian,kg,60,860,16,200,10,2.0
Tomato/Tamatar,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,Italian,Mexican",kg,50,180,9,39,2,3.0
Onion/Pyaz,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,International",kg,40,400,11,93,1,3.0
Carrot/Gajar,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,International",kg,60,410,9,96,2,2.0
Spinach/Palak,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,International",kg,50,230,29,36,4,2.0
Methi Leaves,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,60,300,40,60,8,1.0
Cabbage,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,Asian",kg,40,250,13,58,1,2.0
Cauliflower/Gobhi,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,European",kg,60,250,19,50,3,2.0
Broccoli,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,Western",kg,120,340,28,66,4,2.0
Capsicum/Bell Pepper,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,Mexican,Italian",kg,100,200,20,46,2,2.0
Green Beans,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,International",kg,100,310,19,70,2,2.0
Bottle Gourd/Lauki,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,40,150,10,35,2,3.0
Ridge Gourd/Tori,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,60,160,10,38,2,2.0
Bitter Gourd/Karela,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,60,170,12,35,2,2.0
Pumpkin/Kaddu,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,American",kg,50,260,10,65,2,2.0
Brinjal/Baingan,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,Mediterranean",kg,50,250,10,60,2,2.0
Okra/Bhindi,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,80,330,20,75,10,2.0
Cucumber/Kheera,Vegetable,"Vegetarian,Vegan","Lunch,Snack","Indian,Mediterranean",kg,50,150,7,36,1,2.0
Beetroot,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,European",kg,70,430,16,100,2,2.0
Radish/Mooli,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,40,160,7,35,1,2.0
Turnip/Shalgam,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,European",kg,50,280,18,60,2,2.0
Mushroom,Vegetable,"Vegetarian,Vegan","Breakfast,Lunch,Dinner","Indian,Western",kg,180,220,31,33,3,1.5
Zucchini,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Western,Italian",kg,120,170,12,31,3,2.0
Drumstick/Sahjan,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,100,370,20,80,4,2.0
Green Chilli,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,120,400,20,90,5,0.5
Raw Banana,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,50,890,11,230,3,2.0
Raw Papaya,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,60,430,5,109,3,2.0
Jackfruit/Kathal,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,100,950,18,220,3,2.0
Arbi/Taro,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,Asian",kg,80,1120,60,260,20,2.0
Yam/Suram,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,70,1180,50,280,10,2.0
Banana/Kela,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,International",kg,50,890,11,230,3,3.0
Apple/Seb,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Western",kg,120,520,3,140,2,3.0
Orange/Santara,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,International",kg,80,470,9,118,3,3.0
Papaya/Papita,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Tropical",kg,60,430,5,109,3,3.0
Guava/Amrood,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Tropical",kg,100,680,26,143,10,2.0
Mango/Aam,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Tropical",kg,100,600,8,150,4,2.0
Watermelon/Tarbooz,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Tropical",kg,40,300,6,76,2,4.0
Pomegranate/Anar,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Mediterranean",kg,180,830,17,190,12,2.0
Grapes/Angoor,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Western",kg,100,690,18,181,4,2.0
Pineapple/Ananas,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Tropical",kg,80,500,5,132,1,2.0
Mosambi,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,80,430,7,100,3,3.0
Pear/Nashpati,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Western",kg,120,570,4,152,4,2.0
Kiwi,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,250,610,11,147,6,1.5
Muskmelon/Kharbuja,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Tropical",kg,60,340,8,80,2,3.0
Amla,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,120,440,25,100,10,1.0
Chikoo/Sapota,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Tropical",kg,80,830,12,195,10,2.0
Custard Apple/Sitaphal,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Tropical",kg,120,940,30,220,50,1.5
Lychee/Litchi,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Indian,Asian",kg,180,660,10,165,4,1.5
Pasta,Grain,"Vegetarian,Vegan","Lunch,Dinner",Italian,kg,100,3500,130,720,15,3.0
Whole Wheat Pasta,Grain,"Vegetarian,Vegan","Lunch,Dinner","Italian,Western",kg,140,3400,140,700,25,3.0
Spaghetti,Grain,"Vegetarian,Vegan","Lunch,Dinner",Italian,kg,110,3500,130,730,15,2.0
Couscous,Grain,"Vegetarian,Vegan","Lunch,Dinner",Mediterranean,kg,180,3760,130,770,5,2.0
Tortilla Wrap,Grain,Vegetarian,"Breakfast,Lunch,Dinner",Mexican,kg,180,3100,80,520,80,2.0
Taco Shells,Grain,Vegetarian,"Lunch,Dinner",Mexican,kg,250,5000,70,600,250,1.0
Pita Bread,Grain,Vegetarian,"Breakfast,Lunch",Mediterranean,kg,180,2750,90,550,20,2.0
Rye Bread,Grain,Vegetarian,Breakfast,European,kg,180,2600,80,480,30,2.0
Sourdough Bread,Grain,Vegetarian,Breakfast,European,kg,220,2700,90,520,35,2.0
Bagel,Grain,Vegetarian,Breakfast,Western,kg,250,2700,100,530,20,1.0
Corn Tortilla,Grain,"Vegetarian,Vegan","Lunch,Dinner",Mexican,kg,220,2200,60,460,30,2.0
Black Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Mexican,kg,180,3400,220,620,15,2.0
Kidney Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Mexican,kg,150,3330,240,600,80,2.0
Lentils,Pulse,"Vegetarian,Vegan","Lunch,Dinner","Mediterranean,European",kg,140,3500,250,630,15,2.0
Green Lentils,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Mediterranean,kg,150,3400,240,620,10,2.0
Split Peas,Pulse,"Vegetarian,Vegan","Lunch,Dinner",European,kg,130,3400,230,600,10,2.0
Tofu,Protein,"Vegetarian,Vegan","Lunch,Dinner",Asian,kg,250,1450,170,20,90,2.0
Firm Tofu,Protein,"Vegetarian,Vegan","Lunch,Dinner",Asian,kg,300,1500,180,15,95,2.0
Tempeh,Protein,"Vegetarian,Vegan","Lunch,Dinner","Indonesian,Asian",kg,450,1950,200,80,110,1.0
Seitan,Protein,"Vegetarian,Vegan","Lunch,Dinner",Western,kg,500,1400,750,140,20,1.0
Soy Milk,Dairy Alternative,"Vegetarian,Vegan","Breakfast,Snack",International,litre,160,330,30,20,15,5.0
Almond Milk,Dairy Alternative,"Vegetarian,Vegan","Breakfast,Snack",International,litre,220,250,10,15,20,5.0
Oat Milk,Dairy Alternative,"Vegetarian,Vegan","Breakfast,Snack",International,litre,220,460,10,70,15,5.0
Coconut Milk,Dairy Alternative,"Vegetarian,Vegan","Breakfast,Cooking","Asian,Tropical",litre,180,1900,20,30,180,2.0
Lettuce,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Western,kg,150,150,10,28,2,2.0
Kale,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Western,kg,250,350,30,90,5,1.0
Asparagus,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Western,kg,350,200,22,40,2,1.0
Celery,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Western,kg,120,140,7,30,2,2.0
Avocado,Fruit,"Vegetarian,Vegan","Breakfast,Lunch","Mexican,Western",kg,400,1600,20,85,150,1.0
Olives,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Mediterranean,kg,500,1150,10,60,110,0.5
Artichoke,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",Mediterranean,kg,400,470,30,110,2,1.0
Sweet Corn,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Mexican,American",kg,100,860,33,190,15,2.0
Brussels Sprouts,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",European,kg,300,430,30,90,4,1.5
Strawberries,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,350,320,7,77,3,1.0
Blueberries,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,600,570,7,145,3,0.7
Raspberries,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,700,520,12,120,7,0.7
Blackberries,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,650,430,14,100,5,0.7
Peach,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,300,390,9,95,3,1.0
Plum,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,250,460,7,110,3,1.0
Grapefruit,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,180,420,8,100,2,2.0
Dragon Fruit,Fruit,"Vegetarian,Vegan","Breakfast,Snack","Tropical,Asian",kg,300,600,11,130,4,1.5
Passion Fruit,Fruit,"Vegetarian,Vegan","Breakfast,Snack",Tropical,kg,500,970,20,230,7,0.7
Coconut,Fruit,"Vegetarian,Vegan","Breakfast,Snack,Cooking","Tropical,Asian,Indian",kg,120,3540,33,150,330,1.0
Peanuts,Nuts,"Vegetarian,Vegan","Breakfast,Snack","Indian,International",kg,120,5670,260,160,490,1.0
Almonds,Nuts,"Vegetarian,Vegan","Breakfast,Snack","Indian,International",kg,700,5790,210,220,500,0.5
Walnuts,Nuts,"Vegetarian,Vegan","Breakfast,Snack","Mediterranean,Western",kg,900,6540,150,140,650,0.5
Cashews,Nuts,"Vegetarian,Vegan","Breakfast,Snack","Indian,Asian",kg,800,5530,180,300,440,0.5
Pistachios,Nuts,"Vegetarian,Vegan","Breakfast,Snack","Mediterranean,Indian",kg,1000,5620,200,280,450,0.5
Hazelnuts,Nuts,"Vegetarian,Vegan","Breakfast,Snack",European,kg,900,6280,150,170,610,0.5
Brazil Nuts,Nuts,"Vegetarian,Vegan","Breakfast,Snack",International,kg,1200,6560,140,120,660,0.3
Pumpkin Seeds,Seeds,"Vegetarian,Vegan","Breakfast,Snack",International,kg,500,5590,300,110,490,0.5
Chia Seeds,Seeds,"Vegetarian,Vegan","Breakfast,Snack",International,kg,500,4860,170,420,310,0.4
Flax Seeds,Seeds,"Vegetarian,Vegan","Breakfast,Snack","Indian,International",kg,250,5340,180,290,420,0.5
Sesame Seeds,Seeds,"Vegetarian,Vegan","Breakfast,Lunch,Dinner","Indian,Asian",kg,220,5730,180,230,500,0.5
Sunflower Seeds,Seeds,"Vegetarian,Vegan","Breakfast,Snack",International,kg,300,5840,210,200,510,0.5
Cornflakes,Breakfast,"Vegetarian,Vegan",Breakfast,Western,kg,180,3570,75,840,10,1.0
Muesli,Breakfast,Vegetarian,Breakfast,Western,kg,250,3600,100,700,80,1.0
Granola,Breakfast,Vegetarian,Breakfast,Western,kg,300,4500,90,650,180,1.0
Peanut Butter,Spread,"Vegetarian,Vegan","Breakfast,Snack",Western,kg,250,5880,250,200,500,0.5
Makhana,Snack,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,300,3500,100,760,10,0.5
Roasted Chana,Snack,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,120,3600,220,600,60,1.0
Sattu,Pulse Flour,"Vegetarian,Vegan","Breakfast,Snack",Indian,kg,100,3800,220,580,60,2.0
Idli Batter,Breakfast,"Vegetarian,Vegan",Breakfast,Indian,kg,80,1600,60,300,10,2.0
Dosa Batter,Breakfast,"Vegetarian,Vegan","Breakfast,Dinner",Indian,kg,90,1700,55,320,20,2.0
Hummus,Spread,"Vegetarian,Vegan","Breakfast,Snack,Lunch","Middle Eastern,Mediterranean",kg,300,1700,80,140,100,1.0
Falafel,Protein,"Vegetarian,Vegan","Lunch,Dinner",Middle Eastern,kg,250,3300,130,300,170,1.0
Tzatziki,Dairy,Vegetarian,"Lunch,Dinner",Greek,kg,250,700,40,40,50,1.0
Mustard Oil,Oil,"Vegetarian,Vegan",Cooking,Indian,litre,150,8840,0,0,1000,0.5
Groundnut Oil,Oil,"Vegetarian,Vegan",Cooking,Indian,litre,160,8840,0,0,1000,0.5
Sunflower Oil,Oil,"Vegetarian,Vegan",Cooking,"Indian,International",litre,140,8840,0,0,1000,0.5
Rice Bran Oil,Oil,"Vegetarian,Vegan",Cooking,Indian,litre,140,8840,0,0,1000,0.5
Olive Oil,Oil,"Vegetarian,Vegan",Cooking,Mediterranean,litre,500,8840,0,0,1000,0.5
Coconut Oil,Oil,"Vegetarian,Vegan",Cooking,"Asian,Tropical",litre,220,8840,0,0,1000,0.5
Ghee,Fat,Vegetarian,Cooking,Indian,kg,650,9000,0,0,1000,0.5
Butter,Fat,Vegetarian,"Breakfast,Cooking",Western,kg,500,7170,9,1,810,0.5
Soy Sauce,Ingredient,"Vegetarian,Vegan",Cooking,Asian,litre,180,530,80,50,0,0.5
Tahini,Spread,"Vegetarian,Vegan","Breakfast,Snack,Cooking",Middle Eastern,kg,500,5950,170,210,530,0.5
Tomato Paste,Ingredient,"Vegetarian,Vegan","Lunch,Dinner","Italian,Western",kg,180,820,40,190,2,1.0
Jaggery/Gur,Sweetener,"Vegetarian,Vegan","Breakfast,Snack,Cooking",Indian,kg,80,3800,0,950,0,0.5
Honey,Sweetener,Vegetarian,"Breakfast,Snack",International,kg,250,3040,3,820,0,0.5
Amaranth/Rajgira,Grain,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,140,3710,140,650,70,2.0
Buckwheat/Kuttu Flour,Grain,"Vegetarian,Vegan","Breakfast,Lunch,Dinner","Indian,European",kg,150,3430,130,710,35,2.0
Sorghum Whole/Jowar,Grain,"Vegetarian,Vegan","Lunch,Dinner","Indian,African",kg,90,3290,110,720,30,2.0
Teff,Grain,"Vegetarian,Vegan","Breakfast,Lunch",African,kg,300,3670,130,730,25,1.5
Millet Flakes,Grain,"Vegetarian,Vegan",Breakfast,International,kg,180,3600,110,760,35,1.5
Rolled Oats,Grain,"Vegetarian,Vegan",Breakfast,Western,kg,140,3890,169,663,69,2.0
Steel Cut Oats,Grain,"Vegetarian,Vegan",Breakfast,Western,kg,180,3800,160,680,70,2.0
Whole Wheat Flour,Grain,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Western,kg,65,3400,130,720,25,5.0
Cornmeal,Grain,"Vegetarian,Vegan","Breakfast,Lunch","American,Mexican",kg,100,3600,80,760,40,2.0
Polenta,Grain,"Vegetarian,Vegan","Lunch,Dinner",Italian,kg,180,3500,80,760,10,2.0
Soba Noodles,Grain,"Vegetarian,Vegan","Lunch,Dinner",Japanese,kg,300,3400,150,700,20,1.5
Rice Noodles,Grain,"Vegetarian,Vegan","Lunch,Dinner",Asian,kg,180,3600,50,800,10,2.0
Udon Noodles,Grain,"Vegetarian,Vegan","Lunch,Dinner",Japanese,kg,220,2700,80,570,5,2.0
Egg Noodles,Grain,Non-Vegetarian,"Lunch,Dinner",Asian,kg,180,3800,130,700,70,2.0
Black Gram Whole,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,150,3400,250,590,15,2.0
White Peas,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,110,3400,230,600,15,2.0
Adzuki Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner","Japanese,Asian",kg,300,3300,200,620,10,1.0
Black Eyed Peas,Pulse,"Vegetarian,Vegan","Lunch,Dinner","African,International",kg,180,3350,240,620,15,2.0
Cannellini Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Italian,kg,280,3350,210,620,15,1.5
Navy Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Western,kg,220,3370,220,630,10,1.5
Pinto Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Mexican,kg,220,3400,210,630,15,1.5
Edamame,Pulse,"Vegetarian,Vegan","Breakfast,Lunch,Snack","Japanese,Asian",kg,250,1220,120,90,50,1.5
Lupin Beans,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Mediterranean,kg,350,3700,360,120,90,1.0
Skyr,Dairy,Vegetarian,"Breakfast,Snack","Nordic,Western",kg,300,630,110,40,5,2.0
Cottage Cheese,Dairy,Vegetarian,"Breakfast,Lunch",Western,kg,350,980,120,30,40,1.5
Mozzarella,Dairy,Vegetarian,"Lunch,Dinner",Italian,kg,600,2800,220,30,220,0.7
Parmesan,Dairy,Vegetarian,"Lunch,Dinner",Italian,kg,900,4300,380,30,290,0.3
Feta Cheese,Dairy,Vegetarian,"Lunch,Dinner","Greek,Mediterranean",kg,700,2650,140,40,210,0.5
Ricotta,Dairy,Vegetarian,"Breakfast,Lunch",Italian,kg,450,1750,110,30,130,1.0
Kefir,Dairy,Vegetarian,"Breakfast,Snack",Western,litre,180,600,35,50,30,3.0
Soy Yogurt,Dairy Alternative,"Vegetarian,Vegan","Breakfast,Snack",International,kg,250,600,45,55,25,2.0
Coconut Yogurt,Dairy Alternative,"Vegetarian,Vegan","Breakfast,Snack",Tropical,kg,280,1200,15,50,100,1.5
Turkey Breast,Protein,Non-Vegetarian,"Lunch,Dinner",Western,kg,600,1350,290,0,15,2.0
Lean Beef,Protein,Non-Vegetarian,"Lunch,Dinner",Western,kg,650,2200,260,0,130,1.5
Pork Loin,Protein,Non-Vegetarian,"Lunch,Dinner","Western,Asian",kg,550,2100,270,0,120,1.5
Lamb,Protein,Non-Vegetarian,"Lunch,Dinner","Mediterranean,Middle Eastern",kg,750,2800,250,0,200,1.0
Duck,Protein,Non-Vegetarian,"Lunch,Dinner","Asian,European",kg,700,3300,190,0,280,1.0
Sardines,Protein,Non-Vegetarian,"Lunch,Dinner",Mediterranean,kg,350,2080,250,0,110,1.5
Mackerel,Protein,Non-Vegetarian,"Lunch,Dinner","Indian,Asian,Mediterranean",kg,350,2050,240,0,140,1.5
Cod,Protein,Non-Vegetarian,"Lunch,Dinner",European,kg,500,820,180,0,8,1.5
Tilapia,Protein,Non-Vegetarian,"Lunch,Dinner",International,kg,350,960,200,0,35,2.0
Crab,Protein,Non-Vegetarian,"Lunch,Dinner",International,kg,700,970,190,0,20,1.0
Squid,Protein,Non-Vegetarian,"Lunch,Dinner","Asian,Mediterranean",kg,500,920,160,30,15,1.0
Garlic,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,Italian,Asian",kg,160,1490,64,330,5,0.5
Ginger,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,Asian",kg,180,800,18,180,8,0.5
Leek,Vegetable,"Vegetarian,Vegan","Lunch,Dinner",European,kg,220,610,90,145,3,1.0
Green Peas Fresh,Vegetable,"Vegetarian,Vegan","Lunch,Dinner","Indian,European",kg,120,810,54,145,40,2.0
